id,prompt
3552,Skriv en anmeldelse av filmen «Ghosts of girlfriends past» på rundt 400 ord hvor du gir terningkast 4
400081,Skriv en anmeldelse av filmen «Paddington» på rundt 400 ord hvor du gir terningkast 6
5265,Skriv en anmeldelse av filmen «Skjelvet» på rundt 100 ord hvor du gir terningkast 5
5163,Skriv en anmeldelse av filmen «Unknown Soldier» på rundt 500 ord hvor du gir terningkast 4
127,Skriv en anmeldelse av TV-serien «True Blood» sesong 5 på rundt 500 ord hvor du gir terningkast 5
3446,Skriv en anmeldelse av filmen «Gjensyn med Brideshead» på rundt 400 ord hvor du gir terningkast 4
3835,Skriv en anmeldelse av filmen «Hell's Ground» på rundt 500 ord hvor du gir terningkast 3
4395,Skriv en anmeldelse av filmen «What If» på rundt 700 ord hvor du gir terningkast 4
4333,Skriv en anmeldelse av filmen «The Other Woman» på rundt 600 ord hvor du gir terningkast 3
5307,Skriv en anmeldelse av filmen «Bohemian Rhapsody» på rundt 600 ord hvor du gir terningkast 4
401633,Skriv en anmeldelse av filmen «A quiet place» på rundt 400 ord hvor du gir terningkast 5
3808,Skriv en anmeldelse av filmen «Blastfighter» på rundt 600 ord hvor du gir terningkast 3
4724,"Skriv en anmeldelse av filmen «Hail, Caesar!» på rundt 500 ord hvor du gir terningkast 5"
3571,Skriv en anmeldelse av filmen «Land Of The Lost» på rundt 400 ord hvor du gir terningkast 1
3983,Skriv en anmeldelse av filmen «21 Jump Street» på rundt 300 ord hvor du gir terningkast 4
400296,"Skriv en anmeldelse av filmen «Jauja: Vakkert, men tomt» på rundt 100 ord hvor du gir terningkast 3"
4354,Skriv en anmeldelse av filmen «A Million Ways To Die In The West» på rundt 500 ord hvor du gir terningkast 3
3480,Skriv en anmeldelse av filmen «The Spirit» på rundt 400 ord hvor du gir terningkast 4
401885,Skriv en anmeldelse av filmen «Dragetreneren 3» på rundt 100 ord hvor du gir terningkast 4
5014,Skriv en anmeldelse av filmen «The Mummy» på rundt 100 ord hvor du gir terningkast 3
282,Skriv en anmeldelse av TV-serien «Chelsea Does» på rundt 500 ord hvor du gir terningkast 4
3726,Skriv en anmeldelse av filmen «Enter the Void» på rundt 400 ord hvor du gir terningkast 4
400094,Skriv en anmeldelse av filmen «The Imitation Game» på rundt 600 ord hvor du gir terningkast 5
3448,Skriv en anmeldelse av filmen «The Strangers» på rundt 400 ord hvor du gir terningkast 4
5087,Skriv en anmeldelse av filmen «Home Again» på rundt 500 ord hvor du gir terningkast 3
401073,Skriv en anmeldelse av filmen «What happened to Monday» på rundt 400 ord hvor du gir terningkast 4
3494,Skriv en anmeldelse av filmen «Man on wire» på rundt 400 ord hvor du gir terningkast 5
400149,Skriv en anmeldelse av filmen «Kubo og det magiske instrumentet» på rundt 100 ord hvor du gir terningkast 5
5111,Skriv en anmeldelse av filmen «Jigsaw» på rundt 500 ord hvor du gir terningkast 3
3539,Skriv en anmeldelse av filmen «Coraline og den hemmelige dør» på rundt 400 ord hvor du gir terningkast 6
3573,Skriv en anmeldelse av filmen «Avatar» på rundt 400 ord hvor du gir terningkast 6
4314,Skriv en anmeldelse av filmen «Non-stop» på rundt 400 ord hvor du gir terningkast 3
3603,Skriv en anmeldelse av filmen «Date Night» på rundt 400 ord hvor du gir terningkast 4
4104,Skriv en anmeldelse av filmen «A Good Day to Die Hard» på rundt 500 ord hvor du gir terningkast 4
3799,Skriv en anmeldelse av filmen «Ironmaster» på rundt 600 ord hvor du gir terningkast 4
400216,Skriv en anmeldelse av filmen «Kung fu panda 3» på rundt 100 ord hvor du gir terningkast 3
4579,Skriv en anmeldelse av filmen «Theeb – Ulven» på rundt 400 ord hvor du gir terningkast 5
78,Skriv en anmeldelse av TV-serien «Løgner» sesong 2 på rundt 700 ord hvor du gir terningkast 5
3823,Skriv en anmeldelse av filmen «Biler 2» på rundt 400 ord hvor du gir terningkast 3
4126,Skriv en anmeldelse av filmen «The Host» på rundt 400 ord hvor du gir terningkast 2
3634,Skriv en anmeldelse av filmen «Dogtooth» på rundt 500 ord hvor du gir terningkast 4
4974,Skriv en anmeldelse av filmen «Smurfene: Den hemmelige landsbyen» på rundt 100 ord hvor du gir terningkast 3
400073,Skriv en anmeldelse av filmen «Big Hero 6» på rundt 500 ord hvor du gir terningkast 5
4041,Skriv en anmeldelse av filmen «Savages» på rundt 300 ord hvor du gir terningkast 4
3498,Skriv en anmeldelse av filmen «Han er faktisk ikke interessert» på rundt 400 ord hvor du gir terningkast 4
3595,Skriv en anmeldelse av filmen «Dragetreneren» på rundt 300 ord hvor du gir terningkast 5
401964,Skriv en anmeldelse av filmen «The Hate U give» på rundt 100 ord hvor du gir terningkast 4
3521,Skriv en anmeldelse av filmen «Fast & Furious» på rundt 400 ord hvor du gir terningkast 4
3960,Skriv en anmeldelse av filmen «Warrior» på rundt 400 ord hvor du gir terningkast 5
4394,Skriv en anmeldelse av filmen «The Expendables 3» på rundt 500 ord hvor du gir terningkast 4
314,Skriv en anmeldelse av TV-serien «Orange Is the New Black» sesong 4 på rundt 100 ord hvor du gir terningkast 5
400224,Skriv en anmeldelse av filmen «Historien om den sjenerte giganten» på rundt 100 ord hvor du gir terningkast 5
400305,Skriv en anmeldelse av filmen «Transformers: The Last Knight» på rundt 100 ord hvor du gir terningkast 2
4227,Skriv en anmeldelse av filmen «2 Guns» på rundt 400 ord hvor du gir terningkast 4
107,Skriv en anmeldelse av TV-serien «House» sesong 6 på rundt 600 ord hvor du gir terningkast 3
400988,Skriv en anmeldelse av filmen «War for the planet of the apes» på rundt 500 ord hvor du gir terningkast 4
4040,Skriv en anmeldelse av filmen «Looper» på rundt 400 ord hvor du gir terningkast 4
3427,Skriv en anmeldelse av filmen «Star Wars: The Clone Wars» sesong 1 på rundt 400 ord hvor du gir terningkast 4
