id,prompt
4419,Skriv en anmeldelse av filmen «Snowpiercer» på rundt 600 ord hvor du gir terningkast 5
4625,Skriv en anmeldelse av filmen «The Visit» på rundt 500 ord hvor du gir terningkast 2
400233,Skriv en anmeldelse av filmen «A Syrian love story» på rundt 100 ord hvor du gir terningkast 5
3570,Skriv en anmeldelse av filmen «500 days of Summer» på rundt 100 ord hvor du gir terningkast 5
5364,Skriv en anmeldelse av filmen «Alita: Battle Angel» på rundt 100 ord hvor du gir terningkast 4
4008,Skriv en anmeldelse av filmen «Next Of Kin» på rundt 400 ord hvor du gir terningkast 3
3964,Skriv en anmeldelse av filmen «The Avengers» på rundt 500 ord hvor du gir terningkast 5
5108,Skriv en anmeldelse av filmen «Sicilian Ghost Story» på rundt 500 ord hvor du gir terningkast 5
400780,Skriv en anmeldelse av TV-serien «The Leftovers» på rundt 100 ord hvor du gir terningkast 6
3458,Skriv en anmeldelse av filmen «Journey to the Center of the Earth» på rundt 500 ord hvor du gir terningkast 4
123,Skriv en anmeldelse av TV-serien «True Blood» sesong 4 på rundt 600 ord hvor du gir terningkast 4
400269,Skriv en anmeldelse av filmen «He named me Malala» på rundt 700 ord hvor du gir terningkast 4
3814,Skriv en anmeldelse av filmen «Bridesmaids» på rundt 600 ord hvor du gir terningkast 3
4778,Skriv en anmeldelse av filmen «Our Kind of Traitor» på rundt 100 ord hvor du gir terningkast 3
401499,Skriv en anmeldelse av TV-serien «Bosch» sesong 4 på rundt 500 ord hvor du gir terningkast 5
3967,Skriv en anmeldelse av filmen «Hva gjør vi nå?» på rundt 400 ord hvor du gir terningkast 4
3828,Skriv en anmeldelse av filmen «Captain America: The First Avenger» på rundt 500 ord hvor du gir terningkast 5
17,Skriv en anmeldelse av TV-serien «The Thick Of It» på rundt 400 ord hvor du gir terningkast 5
3708,Skriv en anmeldelse av filmen «Megahjerne» på rundt 400 ord hvor du gir terningkast 4
4155,Skriv en anmeldelse av filmen «Fast & Furious 6» på rundt 400 ord hvor du gir terningkast 4
4463,Skriv en anmeldelse av filmen «Min leilighet i Paris» på rundt 400 ord hvor du gir terningkast 4
400365,Skriv en anmeldelse av filmen «Elle» på rundt 100 ord hvor du gir terningkast 5
4928,Skriv en anmeldelse av filmen «Paterson» på rundt 100 ord hvor du gir terningkast 5
5357,Skriv en anmeldelse av filmen «Destroyer» på rundt 100 ord hvor du gir terningkast 4
402128,Skriv en anmeldelse av filmen «Mary Queen of Scots» på rundt 100 ord hvor du gir terningkast 5
3427,Skriv en anmeldelse av filmen «Star Wars: The Clone Wars» sesong 1 på rundt 400 ord hvor du gir terningkast 4
4988,Skriv en anmeldelse av filmen «Fluefangeren» på rundt 100 ord hvor du gir terningkast 3
4940,Skriv en anmeldelse av filmen «Trio – Jakten på Olavsskrinet» på rundt 100 ord hvor du gir terningkast 4
3301,Skriv en anmeldelse av filmen «The Heartbreak Kid» på rundt 400 ord hvor du gir terningkast 2
3779,Skriv en anmeldelse av filmen «Nawals hemmelighet – Incendies» på rundt 300 ord hvor du gir terningkast 5
4970,Skriv en anmeldelse av filmen «Pingvinenes marsj 2» på rundt 100 ord hvor du gir terningkast 4
91,Skriv en anmeldelse av TV-serien «Eastbound & Down» sesong 2 på rundt 700 ord hvor du gir terningkast 5
